"filename", "language", "TypeScript", "JavaScript", "JSON with Comments", "SVG", "Markdown", "HTML", "JSON", "TypeScript JSX", "PostCSS", "comment", "blank", "total"
"c:\Users\brnsl\OneDrive\Bureau\bigtalents-site\README.md", "Markdown", 0, 0, 0, 0, 26, 0, 0, 0, 0, 0, 13, 39
"c:\Users\brnsl\OneDrive\Bureau\bigtalents-site\eslint.config.mjs", "JavaScript", 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 5, 26
"c:\Users\brnsl\OneDrive\Bureau\bigtalents-site\netlify\edge-functions\track.ts", "TypeScript", 42, 0, 0, 0, 0, 0, 0, 0, 0, 5, 11, 58
"c:\Users\brnsl\OneDrive\Bureau\bigtalents-site\netlify\functions\contact.ts", "TypeScript", 122, 0, 0, 0, 0, 0, 0, 0, 0, 7, 14, 143
"c:\Users\brnsl\OneDrive\Bureau\bigtalents-site\next.config.ts", "TypeScript", 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 24
"c:\Users\brnsl\OneDrive\Bureau\bigtalents-site\package-lock.json", "JSON", 0, 0, 0, 0, 0, 0, 10621, 0, 0, 0, 1, 10622
"c:\Users\brnsl\OneDrive\Bureau\bigtalents-site\package.json", "JSON", 0, 0, 0, 0, 0, 0, 35, 0, 0, 0, 1, 36
"c:\Users\brnsl\OneDrive\Bureau\bigtalents-site\postcss.config.mjs", "JavaScript", 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 2, 6
"c:\Users\brnsl\OneDrive\Bureau\bigtalents-site\public\_netlify-forms.html", "HTML", 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 1, 9
"c:\Users\brnsl\OneDrive\Bureau\bigtalents-site\public\file.svg", "SVG", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\brnsl\OneDrive\Bureau\bigtalents-site\public\globe.svg", "SVG", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\brnsl\OneDrive\Bureau\bigtalents-site\public\next.svg", "SVG", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\brnsl\OneDrive\Bureau\bigtalents-site\public\vercel.svg", "SVG", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\brnsl\OneDrive\Bureau\bigtalents-site\public\window.svg", "SVG", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\brnsl\OneDrive\Bureau\bigtalents-site\src\app\about\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 18, 0, 0, 3, 21
"c:\Users\brnsl\OneDrive\Bureau\bigtalents-site\src\app\api\creator-program\apply\route.ts", "TypeScript", 163, 0, 0, 0, 0, 0, 0, 0, 0, 3, 25, 191
"c:\Users\brnsl\OneDrive\Bureau\bigtalents-site\src\app\api\matcherino\[id]\route.ts", "TypeScript", 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 23
"c:\Users\brnsl\OneDrive\Bureau\bigtalents-site\src\app\api\matcherino\[id]\scrape\route.ts", "TypeScript", 39, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10, 50
"c:\Users\brnsl\OneDrive\Bureau\bigtalents-site\src\app\api\positions\applications\route.ts", "TypeScript", 49, 0, 0, 0, 0, 0, 0, 0, 0, 5, 10, 64
"c:\Users\brnsl\OneDrive\Bureau\bigtalents-site\src\app\api\tournaments\[slug]\bracket\route.ts", "TypeScript", 36, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5, 43
"c:\Users\brnsl\OneDrive\Bureau\bigtalents-site\src\app\brand-guidelines\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 17, 0, 0, 4, 21
"c:\Users\brnsl\OneDrive\Bureau\bigtalents-site\src\app\club\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 18, 0, 0, 3, 21
"c:\Users\brnsl\OneDrive\Bureau\bigtalents-site\src\app\contact\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 23, 0, 0, 3, 26
"c:\Users\brnsl\OneDrive\Bureau\bigtalents-site\src\app\creator-program\apply\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 16, 0, 0, 3, 19
"c:\Users\brnsl\OneDrive\Bureau\bigtalents-site\src\app\creator-program\overview\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 28, 0, 0, 3, 31
"c:\Users\brnsl\OneDrive\Bureau\bigtalents-site\src\app\creator-program\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 18, 0, 0, 3, 21
"c:\Users\brnsl\OneDrive\Bureau\bigtalents-site\src\app\globals.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 0, 441, 24, 83, 548
"c:\Users\brnsl\OneDrive\Bureau\bigtalents-site\src\app\imprint\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 1, 9
"c:\Users\brnsl\OneDrive\Bureau\bigtalents-site\src\app\layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 90, 0, 2, 5, 97
"c:\Users\brnsl\OneDrive\Bureau\bigtalents-site\src\app\news\[slug]\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 38, 0, 0, 9, 47
"c:\Users\brnsl\OneDrive\Bureau\bigtalents-site\src\app\news\loading.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 29, 0, 2, 2, 33
"c:\Users\brnsl\OneDrive\Bureau\bigtalents-site\src\app\news\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 22, 0, 0, 3, 25
"c:\Users\brnsl\OneDrive\Bureau\bigtalents-site\src\app\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 41, 0, 4, 10, 55
